record_id|record_kind|council_clean|constituency_clean|ward_clean|project_name_clean|project_type_clean|status_clean|year_clean|amount_zmw_raw_kept|amount_zmw|funding_source_clean|source_title_clean|source_url_clean|council|constituency|serial_number_raw|ward_raw|project_name_raw|status_raw|year_raw|funding_source_raw|amount_zmw_raw|source_title|source_url|extraction_note|activity_type_raw|description_raw|quantity_raw|source_type
CDF0001|project|Samfya Town Council|Bangweulu Constituency|Kapilibila|Construction Of 1×3 Classroom Block At Kaishe Primary School||Under procurement|2025|||Constituency Development Fund (CDF)|JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|Samfya Town Council|Bangweulu Constituency|1|Kapilibila|Construction Of 1×3 Classroom Block At Kaishe Primary School|Under procurement|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes||||
CDF0002|project|Samfya Town Council|Bangweulu Constituency|Lumamya|Construction Of 1×3 Classroom Block At Pwele Primary School||Under procurement|2025|||Constituency Development Fund (CDF)|JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|Samfya Town Council|Bangweulu Constituency|2|Lumamya|Construction Of 1×3 Classroom Block At Pwele Primary School|Under procurement|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes||||
CDF0003|project|Samfya Town Council|Bangweulu Constituency|Musaba|Construction Of 1×3 Classroom Block At Yamba Primary School||Under procurement|2025|||Constituency Development Fund (CDF)|JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|Samfya Town Council|Bangweulu Constituency|3|Musaba|Construction Of 1×3 Classroom Block At Yamba Primary School|Under procurement|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes||||
CDF0004|project|Samfya Town Council|Bangweulu Constituency|Mano|Construction Of Mano Health Post At Mano||Under procurement|2025|||Constituency Development Fund (CDF)|JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|Samfya Town Council|Bangweulu Constituency|4|Mano|Construction Of Mano Health Post At Mano|Under procurement|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes||||
CDF0005|project|Samfya Town Council|Bangweulu Constituency|Kapata|Construction Of Kansenga Ablution At Kansenga Health Post||Under procurement|2025|||Constituency Development Fund (CDF)|JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|Samfya Town Council|Bangweulu Constituency|5|Kapata|Construction Of Kansenga Ablution At Kansenga Health Post|Under procurement|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes||||
CDF0006|project|Samfya Town Council|Bangweulu Constituency|Kapata|Construction Of Kansenga Health Post||Under procurement|2025|||Constituency Development Fund (CDF)|JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|Samfya Town Council|Bangweulu Constituency|6|Kapata|Construction Of Kansenga Health Post|Under procurement|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes||||
CDF0007|project|Samfya Town Council|Bangweulu Constituency|Lupili|Water, Sanitation And Solar Installations||Under procurement|2025|||Constituency Development Fund (CDF)|JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|Samfya Town Council|Bangweulu Constituency|7|Lupili|Water, Sanitation And Solar Installations|Under procurement|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes||||
CDF0008|project|Samfya Town Council|Bangweulu Constituency|Lupili|Veronica Chikonde Rural Health Center||Under procurement|2025|||Constituency Development Fund (CDF)|JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|Samfya Town Council|Bangweulu Constituency|8|Lupili|Veronica Chikonde Rural Health Center|Under procurement|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes||||
CDF0009|project|Samfya Town Council|Bangweulu Constituency|Various Wards|Procurement Of Boats||Under procurement|2025|||Constituency Development Fund (CDF)|JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|Samfya Town Council|Bangweulu Constituency|9|Various wards|Procurement Of Boats|Under procurement|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes||||
CDF0010|project|Samfya Town Council|Bangweulu Constituency|All Wards|Procurement Of Bicycles||Under procurement|2025|||Constituency Development Fund (CDF)|JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|Samfya Town Council|Bangweulu Constituency|10|All wards|Procurement Of Bicycles|Under procurement|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes||||
