council|constituency|serial_number_raw|ward_raw|project_name_raw|status_raw|year_raw|funding_source_raw|amount_zmw_raw|source_title|source_url|extraction_note
Samfya Town Council|Bangweulu Constituency|1|Kapilibila|Construction Of 1×3 Classroom Block At Kaishe Primary School|Under procurement|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes
Samfya Town Council|Bangweulu Constituency|2|Lumamya|Construction Of 1×3 Classroom Block At Pwele Primary School|Under procurement|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes
Samfya Town Council|Bangweulu Constituency|3|Musaba|Construction Of 1×3 Classroom Block At Yamba Primary School|Under procurement|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes
Samfya Town Council|Bangweulu Constituency|4|Mano|Construction Of Mano Health Post At Mano|Under procurement|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes
Samfya Town Council|Bangweulu Constituency|5|Kapata|Construction Of Kansenga Ablution At Kansenga Health Post|Under procurement|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes
Samfya Town Council|Bangweulu Constituency|6|Kapata|Construction Of Kansenga Health Post|Under procurement|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes
Samfya Town Council|Bangweulu Constituency|7|Lupili|Water, Sanitation And Solar Installations|Under procurement|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes
Samfya Town Council|Bangweulu Constituency|8|Lupili|Veronica Chikonde Rural Health Center|Under procurement|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes
Samfya Town Council|Bangweulu Constituency|9|Various wards|Procurement Of Boats|Under procurement|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes
Samfya Town Council|Bangweulu Constituency|10|All wards|Procurement Of Bicycles|Under procurement|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes
Samfya Town Council|Bangweulu Constituency|11|Lupili|Procurement And Installation Of Solar At Bangwela Radio Station|Under procurement|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes
Samfya Town Council|Bangweulu Constituency|12|Lupili|Construction Of Mwamfuli Market|Under procurement|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes
Samfya Town Council|Bangweulu Constituency|13|Katanshya|Construction Of 1×3 Classroom Block At Mumpu Community School|Under procurement|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes
Samfya Town Council|Bangweulu Constituency|1|Kapata|Improvement of Chinsanka rural health Centre|Completed / ready for commissioning|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes
Samfya Town Council|Bangweulu Constituency|2|Kapata|Re-construction of the roof at Chimembe Primary School under disaster component|Completed / ready for commissioning|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes
Samfya Town Council|Bangweulu Constituency|3|Kapata|Construction of Chinsanka Market under disaster component|Completed / ready for commissioning|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes
