council|title_raw|published_date_raw|excerpt_raw|article_url|source_listing_page|seed_evidence
Samfya Town Council|ONE HUNDRED AND FOURTY GROUPS BAGS CDF GRANTS|September 3, 2026|2.8 million kwacha CDF was disbursed to 140 community groups in Samfya district in 2026; cumulative beneficiary groups since 2022 were reported as over 600.|https://www.samfyacouncil.gov.zm/?p=2841|https://www.samfyacouncil.gov.zm/?cat=1|publicly indexed council page/article
Samfya Town Council|A 30 MILLION KWACHA HARBOR COMPLETED AND READY FOR USE|September 3, 2026|Government through the Ministry of Transport and Logistics disbursed over K30 million for a Samfya harbor and support facilities; the project was reported completed and awaiting commissioning.|https://www.samfyacouncil.gov.zm/?p=2839|https://www.samfyacouncil.gov.zm/?cat=1|publicly indexed council page/article
Samfya Town Council|GOVERNMENT BACKS SAMFYA INVESTMENT POTENTIAL WITH KEY PROJECTS|September 3, 2026|Article describes government interventions in tourism, trade, transportation and infrastructure in Samfya.||https://www.samfyacouncil.gov.zm/?cat=1|publicly indexed council page/article
Samfya Town Council|TOWNSHIP ROAD MAINTAINANCE SOLIDIFIED WITH GOVERNMENT FUNDING|September 3, 2026|Government funding was reported for maintenance of 22 kilometres of township roads.||https://www.samfyacouncil.gov.zm/?cat=1|publicly indexed council page/article
Samfya Town Council|Traditional leaders in Samfya rally behind upcoming Luapula Expo|April 12, 2026|Traditional leaders welcomed the Luapula investment expo and council engagement around investment potential.||https://www.samfyacouncil.gov.zm/?cat=1|publicly indexed council page/article
Samfya Town Council|SAMFYA YOUTHS APPLAUDS GOVERNMENT FOR PROFFESSIONAL ENROLLMENT OPPORTUNITY PROVIDED BY THE CONSTITUENCY DEVELOPMENT FUND|February 23, 2026|Bangweulu School of Nursing and Midwifery students discussed CDF-enabled professional training opportunities.||https://www.samfyacouncil.gov.zm/?cat=1|publicly indexed council page/article
Samfya Town Council|SAMFYA TOWN COUNCIL AND NORTEC FORMS A PACT|February 11, 2026|Samfya Town Council and NORTEC agreed to cooperate around bursary beneficiaries and skills development.||https://www.samfyacouncil.gov.zm/?cat=1|publicly indexed council page/article
Samfya Town Council|SAMFYA DISTRICT SEES BOOST IN FEEDER ROADS CONSTRUCTION|December 9, 2025|CDF road activity reported over K3 million annual allocation to the roads component; 26 km township roads completed and 30 km feeder roads opened.|https://www.samfyacouncil.gov.zm/?p=2429|https://www.samfyacouncil.gov.zm/?cat=1|publicly indexed council page/article
Samfya Town Council|SAMFYA YOUTHFUL ENTREPRENUERS MANIFEST QUALITY WORK|December 9, 2025|Council reported satisfaction with youthful local contractors and suppliers working on CDF projects.||https://www.samfyacouncil.gov.zm/?cat=1|publicly indexed council page/article
Samfya Town Council|SAMFYA ENTREPRENUERS IN FINANCIAL HEAVE|December 9, 2025|Council reported disbursement of over K2.4 million to over 100 indigenous businesses under CDF empowerment.||https://www.samfyacouncil.gov.zm/?cat=1|publicly indexed council page/article
Samfya Town Council|SAMFYA’S CHINSANKA AND MABO KUNDA COMMUNITIES RECEIVE NEW HEALTH FACILITIES|December 9, 2025|Two CDF-funded maternity annexes were reported for Mabo Kunda (Isamba Ward) and Chinsanka (Kapata Ward), with stated project costs of K2,256,000 and K1,181,000 respectively.|https://www.samfyacouncil.gov.zm/?p=2346|https://www.samfyacouncil.gov.zm/?cat=1&paged=2|publicly indexed council page/article
Samfya Town Council|SAMFYA COMMISSIONS CDF AMBULANCE|December 9, 2025|Samfya reported commissioning a CDF ambulance for Bangweulu Constituency.||https://www.samfyacouncil.gov.zm/?cat=1&paged=2|publicly indexed council page/article
Samfya Town Council|SAMFYA DISTRICT RIPE FOR TOURISM DEVELOPMENT|December 8, 2025|Article reports tourism development investments including a Tourism Information Center at Samfya Beach.||https://www.samfyacouncil.gov.zm/?cat=1&paged=2|publicly indexed council page/article
Samfya Town Council|Samfya in CDF infrastructure upsurge|February 3, 2024|Seventeen construction projects from 2022 CDF funding were reported at K12.8 million, including 19 classrooms and 5 health facilities.|https://www.samfyacouncil.gov.zm/?p=1644|https://www.samfyacouncil.gov.zm/?cat=1&paged=2|publicly indexed council page/article
Samfya Town Council|SAMFYA PROCURES EARTH MOVING EQUIPMENT|December 5, 2023|Samfya Town Council reported procurement of a TLB and a compactor using 2022 CDF for road and infrastructure works.|https://www.samfyacouncil.gov.zm/?p=1280|https://www.samfyacouncil.gov.zm/?cat=1&paged=2|publicly indexed council page/article
Samfya Town Council|SAMFYA SCHOOLS IN A DESK BONANZA|December 5, 2023|Council reported procurement of 4,249 desks for schools across all ten wards, amounting to over K6 million under the 2023 CDF.|https://www.samfyacouncil.gov.zm/?p=1273|https://www.samfyacouncil.gov.zm/?cat=1&paged=2|publicly indexed council page/article
