council|category|year_raw|document_title_raw|document_url|file_type|source_page|seed_evidence
Samfya Town Council|community_projects|2025|List of Proposed Projects From WDCs By Ward|||https://www.samfyacouncil.gov.zm/?page_id=2029|publicly indexed council listing
Samfya Town Council|community_projects|2025|List Of Approved Community Projects 2025|||https://www.samfyacouncil.gov.zm/?page_id=2029|publicly indexed council listing
Samfya Town Council|community_projects|2025|List of Deffered Projects By Ward|||https://www.samfyacouncil.gov.zm/?page_id=2029|publicly indexed council listing
Samfya Town Council|community_projects|2025|Justification of Deffered Community Projects By Ward 2025|||https://www.samfyacouncil.gov.zm/?page_id=2029|publicly indexed council listing
Samfya Town Council|community_projects|2025|Conveyance Notification for Approval 2025 CDF Projects|||https://www.samfyacouncil.gov.zm/?page_id=2029|publicly indexed council listing
Samfya Town Council|community_projects|2024|2024 CDF Approved Community Project|||https://www.samfyacouncil.gov.zm/?page_id=2029|publicly indexed council listing
Samfya Town Council|community_projects|2023|Approval – CDF 2023 Community Projects|||https://www.samfyacouncil.gov.zm/?page_id=2029|publicly indexed council listing
Samfya Town Council|community_projects|2022|COMMUNITY PROJECT APPROVAL 2022|||https://www.samfyacouncil.gov.zm/?page_id=2029|publicly indexed council listing
Samfya Town Council|community_projects|2022|2022 APPROVED|||https://www.samfyacouncil.gov.zm/?page_id=2029|publicly indexed council listing
Samfya Town Council|grants_and_loans|2025|Approval – CDF 2025 Empowerment Grants|||https://www.samfyacouncil.gov.zm/?page_id=2097|publicly indexed council listing
Samfya Town Council|grants_and_loans|2024|2024 APPROVED GRANTS LETTER|||https://www.samfyacouncil.gov.zm/?page_id=2097|publicly indexed council listing
Samfya Town Council|grants_and_loans|2024|CDF 2024 GRANTS APPROVED|||https://www.samfyacouncil.gov.zm/?page_id=2097|publicly indexed council listing
Samfya Town Council|grants_and_loans|2024|2024 CDF LOAN|||https://www.samfyacouncil.gov.zm/?page_id=2097|publicly indexed council listing
Samfya Town Council|grants_and_loans|2023|Approval of 2023 Grants|||https://www.samfyacouncil.gov.zm/?page_id=2097|publicly indexed council listing
Samfya Town Council|grants_and_loans|2023|2023 Loans approval|||https://www.samfyacouncil.gov.zm/?page_id=2097|publicly indexed council listing
Samfya Town Council|grants_and_loans|2023|-2023 Approved CDF Loans|||https://www.samfyacouncil.gov.zm/?page_id=2097|publicly indexed council listing
Samfya Town Council|grants_and_loans|2022|2022 Grant Approval|||https://www.samfyacouncil.gov.zm/?page_id=2097|publicly indexed council listing
Samfya Town Council|grants_and_loans|2022|2022 Loans Approval|||https://www.samfyacouncil.gov.zm/?page_id=2097|publicly indexed council listing
Samfya Town Council|skills_and_bursaries|2025|Approval – CDF 2025 Skills Development Bursaries|||https://www.samfyacouncil.gov.zm/?page_id=2078|publicly indexed council listing
Samfya Town Council|skills_and_bursaries|2025|Approval – CDF 2025 Secondary Boarding Sch. Bursaries|||https://www.samfyacouncil.gov.zm/?page_id=2078|publicly indexed council listing
Samfya Town Council|skills_and_bursaries|2024|2024 BURSARIES|||https://www.samfyacouncil.gov.zm/?page_id=2078|publicly indexed council listing
Samfya Town Council|skills_and_bursaries|2023|2023 Secondary and Skills Approval|||https://www.samfyacouncil.gov.zm/?page_id=2078|publicly indexed council listing
Samfya Town Council|skills_and_bursaries|2023|SKILLS LIST APPROVED FOR 2023|||https://www.samfyacouncil.gov.zm/?page_id=2078|publicly indexed council listing
Samfya Town Council|skills_and_bursaries|2022|2022 APPROVAL – SKILLS DEVELOPMENT BURSARIES|||https://www.samfyacouncil.gov.zm/?page_id=2078|publicly indexed council listing
Samfya Town Council|idp|2024|SAMFYA- IDP 2024-2034|https://www.samfyacouncil.gov.zm/wp-content/uploads/2023/12/SAMFYA-DRAFT-IDP-2024-2033-1.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=195|publicly indexed council listing
Samfya Town Council|council_minutes|2025|OCTOBER MINUTE BOOK 2025|||https://www.samfyacouncil.gov.zm/?page_id=195|publicly indexed council listing
Samfya Town Council|council_minutes|2025|JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=195|publicly indexed council listing
Samfya Town Council|council_minutes|2023|Third Quarter Ordinary Council Meeting 2023|||https://www.samfyacouncil.gov.zm/?page_id=195|publicly indexed council listing
Samfya Town Council|council_minutes|2023|Fourth Quarter Ordinary Council Meetings 2023|||https://www.samfyacouncil.gov.zm/?page_id=195|publicly indexed council listing
Samfya Town Council|stakeholder_engagement|2026|Minutes Of The Community Meeting For 2026 Budget Preparation|||https://www.samfyacouncil.gov.zm/?page_id=195|publicly indexed council listing
Samfya Town Council|stakeholder_engagement|2026|Minutes Of The Business Community Meeting For 2026 Budget Preparation|||https://www.samfyacouncil.gov.zm/?page_id=195|publicly indexed council listing
Samfya Town Council|stakeholder_engagement|2025|Samfya Council Citizen Engagement Strategy 2025|||https://www.samfyacouncil.gov.zm/?page_id=195|publicly indexed council listing
Samfya Town Council|stakeholder_engagement|2025|Samfya Council Citizen Engagement Strategy 2025 (Updated)|||https://www.samfyacouncil.gov.zm/?page_id=195|publicly indexed council listing
Samfya Town Council|stakeholder_engagement|2025|Signed Minutes Of The Community 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/07/Signed-Minutes-of-the-Community-2025.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=195|publicly indexed council listing
Samfya Town Council|stakeholder_engagement|2025|Signed Minutes Of The Business Community 2025|||https://www.samfyacouncil.gov.zm/?page_id=195|publicly indexed council listing
Samfya Town Council|stakeholder_engagement|2025|APPROVED ENGAGEMENT PLAN|||https://www.samfyacouncil.gov.zm/?page_id=195|publicly indexed council listing
Samfya Town Council|stakeholder_engagement|2025|Stakeholder Engagement Plans – SAMFYA|||https://www.samfyacouncil.gov.zm/?page_id=195|publicly indexed council listing
Samfya Town Council|financial_statements|2024|Signed unmodified Opinion 2024|||https://www.samfyacouncil.gov.zm/?page_id=195|publicly indexed council listing
Samfya Town Council|financial_statements|2024|Signed Audited Financial Statement 2024|||https://www.samfyacouncil.gov.zm/?page_id=195|publicly indexed council listing
Samfya Town Council|financial_statements|2023|Signed Audited Financial Statements 2023|||https://www.samfyacouncil.gov.zm/?page_id=195|publicly indexed council listing
Samfya Town Council|financial_statements|2022|Signed Audited Financial Statements 2022|||https://www.samfyacouncil.gov.zm/?page_id=195|publicly indexed council listing
Samfya Town Council|financial_statements|2021|Signed Audited Financial Statements 2021|||https://www.samfyacouncil.gov.zm/?page_id=195|publicly indexed council listing
Samfya Town Council|financial_statements|2020|Signed Audited Financial Statements 2020|||https://www.samfyacouncil.gov.zm/?page_id=195|publicly indexed council listing
Samfya Town Council|financial_statements|2019|Signed Audited Financial Statements 2019|||https://www.samfyacouncil.gov.zm/?page_id=195|publicly indexed council listing
Samfya Town Council|financial_statements|2018|Signed Audited Financial Statements 2018|||https://www.samfyacouncil.gov.zm/?page_id=195|publicly indexed council listing
Samfya Town Council|budgets|2026|Budget 2026 – HeadMandate2026|||https://www.samfyacouncil.gov.zm/?page_id=195|publicly indexed council listing
Samfya Town Council|budgets|2025|Budget 2025 – HeadMandate2025|||https://www.samfyacouncil.gov.zm/?page_id=195|publicly indexed council listing
Samfya Town Council|budgets||SAMFYA WARD BUDGET CONSULTATION REPORT|||https://www.samfyacouncil.gov.zm/?page_id=195|publicly indexed council listing
Samfya Town Council|budgets|2024|SAMFYA OBB 2024 Head Mandate Objective Sub Programme|||https://www.samfyacouncil.gov.zm/?page_id=195|publicly indexed council listing
Samfya Town Council|budgets|2024|Semi Budget Performance 2024|||https://www.samfyacouncil.gov.zm/?page_id=195|publicly indexed council listing
Samfya Town Council|budgets|2024|Annual Bugdet Performance 2024|||https://www.samfyacouncil.gov.zm/?page_id=195|publicly indexed council listing
Samfya Town Council|budgets|2025|Samfya Bi-Annual Report 2025|||https://www.samfyacouncil.gov.zm/?page_id=195|publicly indexed council listing
Samfya Town Council|guidelines||WDC GUIDELINES|||https://www.samfyacouncil.gov.zm/?page_id=195|publicly indexed council listing
